question-word,correct answer-word, model's guess-word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,,guess
zenith,pinnacle,pinnacle,correct
flawed,imperfect,,guess
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,,guess
concisely,succinctly,succinctly,correct
salutes,greetings,,guess
solitary,alone,,guess
hasten,accelerate,accelerate,correct
perseverance,endurance,,guess
fanciful,imaginative,,guess
showed,demonstrated,,guess
constantly,continually,continually,correct
issues,subjects,,guess
furnish,supply,,guess
costly,expensive,expensive,correct
recognized,acknowledged,,guess
spot,location,,guess
make,earn,,guess
often,frequently,frequently,correct
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,,guess
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,,guess
discrepancies,differences,differences,correct
prolific,productive,,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,,guess
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,,guess
situated,positioned,,guess
principal,major,,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,,guess
hailed,acclaimed,,guess
command,mastery,,guess
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,,guess
sustained,prolonged,,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,,guess
dissipate,disperse,,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,,guess
resolved,settled,,guess
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,proportion,correct
terminated,ended,,guess
uniform,alike,,guess
figure,solve,,guess
sufficient,enough,enough,correct
fashion,manner,,guess
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
