question-word,correct answer-word, model's guess-word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,successful,wrong
spot,location,location,correct
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,clear,wrong
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,prickly,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,alter,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,pharmacist,wrong
essentially,basically,basically,correct
keen,sharp,useful,wrong
situated,positioned,isolated,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,jobs,correct
unlikely,improbable,unpopular,wrong
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,isolate,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,proportion,correct
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sold,correct
bigger,larger,better,wrong
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
