question-word,correct answer-word, model's guess-word,label
enormously,tremendously,,guess
provisions,stipulations,interpretations,wrong
haphazardly,randomly,,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,completion,wrong
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,supplied,wrong
advent,coming,arrest,wrong
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,fearless,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,,guess
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,prickly,wrong
levied,imposed,,guess
deftly,skillfully,humorously,wrong
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,curved,wrong
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,doctor,correct
essentially,basically,ordinarily,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,shops,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,,guess
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,lowered,wrong
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,wrong
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,forgotten,wrong
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,,guess
terminated,ended,,guess
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,,guess
